id,url,nickname,dob,nationality,address,association,class,height,weight,name
117,/fighter/Francesco-Maturi-117,Fang,N/A,,,,N/A,,,Francesco Maturi
115,/fighter/Geza-Kalman-115,,N/A,,,,N/A,,,Geza Kalman
124,/fighter/Don-Frye-124,The Predator,1965-11-23,United States,"Sierra Vista, Arizona",Team Frye,Heavyweight,185.42,95.25,Don Frye
129,/fighter/Gary-Goodridge-129,Big Daddy,1966-01-17,Canada,"Barrie, Ontario",Big Daddy Fight Team,Heavyweight,190.5,108.86,Gary Goodridge
127,/fighter/Jerry-Bohlander-127,,1974-11-02,United States,"Napa, California",Lion's Den,Light Heavyweight,180.34,90.26,Jerry Bohlander
122,/fighter/Sam-Adkins-122,The Experience,1965-04-26,United States,"Houston, Texas",,Heavyweight,190.5,102.06,Sam Adkins
130,/fighter/Paul-Herrera-130,,N/A,United States,"Huntington Beach, California",Empire Training Center,Middleweight,177.8,83.91,Paul Herrera
128,/fighter/Scott-Ferrozzo-128,The Pit Bull,1965-04-26,United States,"Shakopee, Minnesota",,Super Heavyweight,180.34,146.51,Scott Ferrozzo
126,/fighter/Joe-Moreira-126,,N/A,,,,N/A,,,Joe Moreira
125,/fighter/Thomas-Ramirez-125,,N/A,Puerto Rico,Bayamon,,Super Heavyweight,185.42,185.97,Thomas Ramirez
123,/fighter/Keith-Mielke-123,,N/A,United States,"San Diego, California",,N/A,175.26,84.82,Keith Mielke
135,/fighter/Amaury-Bitetti-135,,N/A,Brazil,Rio De Janeiro,,Middleweight,175.26,83.91,Amaury Bitetti
134,/fighter/Koji-Kitao-134,Mitsuharu,1963-08-12,Japan,"Tsu, Mie",New Japan Pro Wrestling,Super Heavyweight,200.66,176.9,Koji Kitao
133,/fighter/Mark-Schultz-133,,1960-10-26,United States,"Lindon, Utah",,Light Heavyweight,177.8,92.08,Mark Schultz
131,/fighter/Rafael-Carino-131,Earthquake,1973-07-16,Brazil,Rio De Janeiro,Nova Uniao,Heavyweight,203.2,111.13,Rafael Carino
132,/fighter/Matt-Andersen-132,,N/A,USA,"Omaha, Nebraska",,Heavyweight,187.96,111.13,Matt Andersen
147,/fighter/Steve-Nelmark-147,The Sandman,N/A,USA,"Livonia, Michigan",,Heavyweight,182.88,113.4,Steve Nelmark
6950,/fighter/Tai-Bowden-6950,,N/A,,,,N/A,,,Tai Bowden
136,/fighter/Mark-Coleman-136,The Hammer,1964-12-20,United States,"Columbus, Ohio",Hammer House,Light Heavyweight,185.42,92.99,Mark Coleman
137,/fighter/Brian-Johnston-137,Fury,1968-07-28,United States,"San Jose, California",American Kickboxing Academy,Heavyweight,193.04,100.7,Brian Johnston
140,/fighter/John-Campetella-140,,N/A,USA,"New York City, New York",,Heavyweight,175.26,106.59,John Campetella
139,/fighter/Moti-Horenstein-139,The Hammer,1964-03-23,United States,"Spring Valley, New York",Moti Horenstein MMA,Light Heavyweight,185.42,92.99,Moti Horenstein
138,/fighter/Scott-Fiedler-138,,N/A,United States,"Pacific, Missouri",,Heavyweight,193.04,106.59,Scott Fiedler
2007,/fighter/Dieuseul-Berto-2007,Tiger,1960-07-16,United States,"Winter Haven, Florida",Tiger's World of Martial Arts,Light Heavyweight,175.26,90.72,Dieuseul Berto
146,/fighter/Fabio-Gurgel-146,,1970-01-18,Brazil,Rio de Janeiro,Alliance,Light Heavyweight,182.88,92.99,Fabio Gurgel
145,/fighter/Reza-Nasri-145,,N/A,"Iran, Islamic Republic of",Isfahan,,Light Heavyweight,180.34,92.99,Reza Nasri
144,/fighter/Julian-Sanchez-144,,N/A,United States,"San Antonio, Texas",,Super Heavyweight,190.5,136.08,Julian Sanchez
142,/fighter/Roberto-Traven-142,Spider,1968-09-16,Brazil,Rio de Janeiro,Alliance Team,Heavyweight,190.5,102.97,Roberto Traven
143,/fighter/Dave-Berry-143,,N/A,,,,N/A,,,Dave Berry
141,/fighter/Sam-Fulton-141,,N/A,United States,"Athens, Alabama",,Heavyweight,187.96,113.4,Sam Fulton
161,/fighter/Jack-Nilson-161,The Ripper,N/A,,,,N/A,,,Jack Nilson
156,/fighter/Vitor-Belfort-156,The Phenom,1977-04-01,Brazil,Rio de Janeiro,BlackziliansJaco Hybrid Training Center,Middleweight,182.88,83.91,Vitor Belfort
148,/fighter/Nick-Sanzo-148,,N/A,United States,"Niskayuna, New York",,Light Heavyweight,175.26,86.18,Nick Sanzo
157,/fighter/Tra-Telligman-157,Trauma,1965-02-07,United States,"Dallas, Texas",Lion's Den,Heavyweight,187.96,105.69,Tra Telligman
155,/fighter/Jim-Mullen-155,,N/A,United States,"Simi Valley, California",,Heavyweight,185.42,97.52,Jim Mullen
153,/fighter/Kazuo-Takahashi-153,Yoshiki,1969-03-13,Japan,Chiba,D-One Gym,Light Heavyweight,177.8,92.08,Kazuo Takahashi
154,/fighter/Wallid-Ismail-154,,1968-02-22,Brazil,Rio De Janeiro,Brazil Dojo,Middleweight,170.18,82.55,Wallid Ismail
152,/fighter/Rainy-Martinez-152,,N/A,United States,"Tucson, Arizona",,Light Heavyweight,182.88,88.45,Rainy Martinez
150,/fighter/Justin-Martin-150,The Reaper,N/A,United States,"Dallas, Texas",,Light Heavyweight,182.88,92.99,Justin Martin
151,/fighter/Eric-Martin-151,,N/A,,,,N/A,,,Eric Martin
149,/fighter/Jackie-Lee-149,,N/A,,,,N/A,,,Jackie Lee
166,/fighter/Randy-Couture-166,The Natural,1963-06-22,United States,"Corvallis, Oregon",Xtreme Couture,Light Heavyweight,185.42,92.08,Randy Couture
164,/fighter/Steven-Graham-164,,N/A,USA,"Fayettsville, North Carolina",,Super Heavyweight,185.42,131.54,Steven Graham
158,/fighter/Tito-Ortiz-158,The Huntington Beach Bad Boy,1975-01-23,United States,"Huntington Beach, California",Team Punishment,Light Heavyweight,187.96,92.99,Tito Ortiz
167,/fighter/Tony-Halme-167,The Viking,N/A,Finnland,Helsinki,,Super Heavyweight,193.04,136.08,Tony Halme
165,/fighter/Dmitri-Stepanov-165,,N/A,,,,N/A,,,Dmitri Stepanov
12,/fighter/Enson-Inoue-12,Yamato Damashi,1967-04-15,Japan,"Omiya, Saitama",Purebred Omiya,Light Heavyweight,177.8,92.53,Enson Inoue
163,/fighter/Royce-Alger-163,,N/A,,,,N/A,,,Royce Alger
160,/fighter/Saeed-Hosseini-160,,N/A,,,,N/A,,,Saeed Hosseini
159,/fighter/Wes-Albritton-159,,N/A,,,,N/A,,,Wes Albritton
175,/fighter/Maurice-Smith-175,Mo,1961-12-13,United States,"Seattle, Washington",The Alliance,Light Heavyweight,187.96,93.44,Maurice Smith
71,/fighter/Mark-Kerr-71,The Smashing Machine,1968-12-21,United States,"Phoenix, Arizona",Team Kerr,Heavyweight,190.5,115.67,Mark Kerr
174,/fighter/Dan-Bobish-174,The Bull,1970-01-26,United States,"Cleveland, Ohio",Strong Style Fight Team,Super Heavyweight,185.42,150.59,Dan Bobish
172,/fighter/Kevin-Jackson-172,,N/A,United States,"Phoenix, Arizona",,Light Heavyweight,177.8,90.26,Kevin Jackson
168,/fighter/Tony-Fryklund-168,The Freak,1971-03-26,United States,"Boston, Massachusetts",Militech Fighting Systems,Lightweight,182.88,70.31,Tony Fryklund
173,/fighter/Todd-Butler-173,,N/A,USA,"Curwensville, Phildelphia",,Light Heavyweight,185.42,89.81,Todd Butler
171,/fighter/Yuri-Vaulin-171,,1963-09-13,Latvia,Riga,,N/A,193.04,93.89,Yuri Vaulin
170,/fighter/Alex-Hunter-170,,N/A,USA,"Tarpon Springs, Florida",,Heavyweight,175.26,102.51,Alex Hunter
169,/fighter/Donnie-Chappell-169,,N/A,,,,N/A,,,Donnie Chappell
177,/fighter/Dwayne-Cason-177,,N/A,USA,"Fayettville, North Carolina",,Heavyweight,177.8,96.16,Dwayne Cason
180,/fighter/Carlos-Barreto-180,Carlao,1968-07-22,Brazil,Rio de Janeiro,,Heavyweight,193.04,104.33,Carlos Barreto
179,/fighter/Greg-Stott-179,The Ranger,N/A,USA,"Sanford, North Carolina",,Heavyweight,170.18,108.86,Greg Stott
178,/fighter/Houston-Dorr-178,,N/A,USA,"Diamond Head, Mississippi",,Light Heavyweight,182.88,92.99,Houston Dorr
176,/fighter/Harry-Moskowitz-176,Dirty,1968-07-16,United States,"Ocean Springs, Mississippi",,Super Heavyweight,195.58,124.74,Harry Moskowitz
284,/fighter/Frank-Shamrock-284,,1972-12-08,United States,"Santa Monica, California",The Alliance,Middleweight,177.8,83.91,Frank Shamrock
191,/fighter/Igor-Zinoviev-191,Houdini,N/A,Russia,St. Petersburg,,Light Heavyweight,185.42,88.45,Igor Zinoviev
190,/fighter/Tsuyoshi-Kosaka-190,TK,1970-03-06,Japan,"Kusatsu, Shiga",Alliance-Square,Heavyweight,180.34,102.06,Tsuyoshi Kosaka
188,/fighter/Pat-Miletich-188,The Croation Sensation,1968-03-09,United States,"Bettendorf, Iowa",Miletich Martial Arts,Welterweight,177.8,76.66,Pat Miletich
64,/fighter/Chris-Brennan-64,The Westside Strangler,1971-10-12,United States,"Mission Viejo, California",Next Generation,Lightweight,172.72,70.31,Chris Brennan
189,/fighter/Townsend-Saunders-189,,1968-07-16,United States,"White Sands, New Mexico",,Welterweight,165.1,77.11,Townsend Saunders
186,/fighter/Mikey-Burnett-186,The Eastside Assassin,1974-04-12,United States,"Tulsa, Oklahoma",Lion's Den,Welterweight,167.64,77.11,Mikey Burnett
187,/fighter/Eugenio-Tadeu-187,,N/A,Brazil,Rio de Janeiro,,Welterweight,172.72,72.57,Eugenio Tadeu
285,/fighter/Courtney-Turner-285,,N/A,USA,"Metairie, Louisiana",,Middleweight,187.96,79.38,Courtney Turner
184,/fighter/LaVerne-Clark-184,Fists of Fury,1973-12-02,United States,"Davenport, Iowa",Miletich Martial Arts,Middleweight,180.34,83.91,LaVerne Clark
185,/fighter/Josh-Stuart-185,,N/A,United States,"Harvey, Louisiana",,Welterweight,175.26,72.12,Josh Stuart
202,/fighter/Jeremy-Horn-202,Gumby,1975-08-25,United States,"Cedar Rapids, Iowa",Elite Performance,Middleweight,185.42,84.37,Jeremy Horn
201,/fighter/Pete-Williams-201,El Duro,1975-07-10,USA,"San Lorenzo, California",Lion's Den,Heavyweight,190.5,102.06,Pete Williams
195,/fighter/Dan-Henderson-195,Hendo,1970-08-24,United States,"Temecula, California",Team Quest,Middleweight,185.42,83.91,Dan Henderson
7,/fighter/Carlos-Newton-7,The Ronin,1976-08-17,Canada,"Newmarket, Ontario",Warrior MMA Fight Team,Middleweight,175.26,78.93,Carlos Newton
200,/fighter/Hugo-Duarte-200,,1968-08-09,Brazil,Rio De Janeiro,Hugo Duarte Luta Livre,Heavyweight,182.88,108.86,Hugo Duarte
198,/fighter/Mike-Van-Arsdale-198,,1965-06-20,United States,"San Jose, California",,Light Heavyweight,187.96,92.99,Mike Van Arsdale
199,/fighter/Joe-Pardo-199,,N/A,USA,"Torrance, California",Gracie Jiu-Jitsu Academy,Heavyweight,185.42,95.25,Joe Pardo
197,/fighter/Bob-Gilstrap-197,,1974-07-16,United States,"Seattle, Washington",,Heavyweight,190.5,95.25,Bob Gilstrap
196,/fighter/Allan-Goes-196,,1971-04-20,United States,"Mission Viejo, California",Goes Martial Arts,Light Heavyweight,182.88,92.99,Allan Goes
194,/fighter/Andre-Roberts-194,The Chief,1965-02-24,United States,"Tama, Iowa",,Super Heavyweight,187.96,156.49,Andre Roberts
192,/fighter/Chuck-Liddell-192,The Iceman,1969-12-17,United States,"San Luis Obispo, California",The Pit,Light Heavyweight,187.96,92.99,Chuck Liddell
193,/fighter/Noe-Hernandez-193,,N/A,,,,N/A,,,Noe Hernandez
210,/fighter/John-Lober-210,The Machine,1968-02-26,United States,"Huntington Beach, California",Team Machine,Middleweight,180.34,82.55,John Lober
209,/fighter/Wanderlei-Silva-209,The Axe Murderer,1976-07-03,Brazil,"Curitiba, Parana",Wand Fight Team,Middleweight,177.8,83.91,Wanderlei Silva
208,/fighter/Pedro-Rizzo-208,The Rock,1974-05-03,Brazil,"Rio de Janeiro, Rio de Janeiro",Ruas Vale Tudo,Heavyweight,185.42,110.68,Pedro Rizzo
207,/fighter/Ebenezer-Fontes-Braga-207,Pitbull,1969-04-14,Brazil,Rio de Janeiro,Gracie Barra Combat Team,Light Heavyweight,182.88,90.26,Ebenezer Fontes Braga
205,/fighter/Tulio-Palhares-205,,N/A,Brazil,Sao Paulo,,Middleweight,177.8,81.65,Tulio Palhares
206,/fighter/Adriano-Santos-206,,N/A,,,,N/A,,,Adriano Santos
203,/fighter/Cesar-Marcussi-203,,N/A,Brazil,"Cascavel, Parana",Ryan Gracie TeamVeras TK,Lightweight,,70.31,Cesar Marcussi
204,/fighter/Paulo-Santos-204,,N/A,,,,N/A,,,Paulo Santos
214,/fighter/Bas-Rutten-214,El Guapo,1965-02-24,Netherlands,Eindhoven,,Light Heavyweight,185.42,92.99,Bas Rutten
1015,/fighter/Jorge-Patino-1015,Macaco,1973-05-08,United States,"Houston, Texas",Macaco Gold Team,Lightweight,172.72,70.31,Jorge Patino
212,/fighter/Evan-Tanner-212,,1971-02-11,United States,"Amarillo, Texas",Hard Knocks Kickboxing,Middleweight,182.88,83.91,Evan Tanner
213,/fighter/Darrell-Gholar-213,,1962-11-07,United States,"North Hollywood, California",,Light Heavyweight,172.72,89.81,Darrell Gholar
211,/fighter/Frank-Caracci-211,,1970-02-16,United States,"New Orleans, Louisiana",,Light Heavyweight,170.18,92.99,Frank Caracci
162,/fighter/Kevin-Randleman-162,The Monster,1971-08-10,United States,"Columbus, Ohio",Tapout Training Center,Light Heavyweight,177.8,92.99,Kevin Randleman
216,/fighter/Valeri-Ignatov-216,The X Factor,N/A,Bulgaria,Sofia,Shamrock 2000,Light Heavyweight,175.26,86.64,Valeri Ignatov
215,/fighter/Jason-Godsey-215,,1964-01-01,United States,"Indianapolis, Indiana",Integrated Fighting Academy,Heavyweight,187.96,111.13,Jason Godsey
9977,/fighter/Sione-Latu-9977,,N/A,,,,N/A,,,Sione Latu
1629,/fighter/Joey-Roberts-1629,,1977-11-11,,,Memphis Bad Boyz,Light Heavyweight,187.96,90.72,Joey Roberts
80,/fighter/Travis-Fulton-80,The Ironman,1977-05-29,United States,"Cedar Falls, Iowa",Team Peak Performance,Heavyweight,182.88,104.33,Travis Fulton
221,/fighter/Tony-Petarra-221,,1966-11-08,United States,"Santa Maria, California",Shark Tank,Light Heavyweight,180.34,88.9,Tony Petarra
219,/fighter/Marcelo-Mello-219,,N/A,,,,N/A,,,Marcelo Mello
220,/fighter/Dave-Roberts-220,,1977-11-15,United States,"Jacksonville, Florida",,Light Heavyweight,185.42,92.08,Dave Roberts
218,/fighter/Fabiano-Iha-218,,1970-07-28,United States,"Huntington Beach, California",,Lightweight,172.72,70.31,Fabiano Iha
217,/fighter/Ron-Waterman-217,H2O,1965-11-23,United States,"Greeley, Colorado",Colorado Stars,Heavyweight,187.96,117.93,Ron Waterman
287,/fighter/Chris-Condo-287,,N/A,,,,N/A,,,Chris Condo
227,/fighter/Andre-Pederneiras-227,Dede,1967-03-22,Brazil,,Nova Uniao,Welterweight,172.72,72.57,Andre Pederneiras
226,/fighter/Daiju-Takase-226,,1978-04-20,Japan,Tokyo,IamI,Middleweight,182.88,83.01,Daiju Takase
224,/fighter/Paul-Jones-224,,N/A,United States,"Boys Ranch, Texas",,Light Heavyweight,175.26,89.81,Paul Jones
225,/fighter/Flavio-Luiz-Moura-225,,1976-01-26,Brazil,Rio de Janiero,Gracie Fusion,N/A,180.34,84.82,Flavio Luiz Moura
223,/fighter/Tim-Lajcik-223,The Bohemian,1965-06-21,United States,"Redwood, California",Gladiators Training Academy,Heavyweight,185.42,102.06,Tim Lajcik
222,/fighter/Eugene-Jackson-222,The Wolf,1969-12-31,United States,"East Palo Alto, California",Gladiators Training Academy,Middleweight,172.72,83.91,Eugene Jackson
81,/fighter/David-Dodd-81,,N/A,United States,"Mesa, Arizona",Arizona Combat Sports,Light Heavyweight,187.96,92.99,David Dodd
181,/fighter/Brad-Kohler-181,,1964-05-26,United States,"Bloomington, Minnesota",,Heavyweight,175.26,99.79,Brad Kohler
233,/fighter/Steve-Judson-233,,N/A,United States,"Phoenix, Arizona",,Heavyweight,185.42,99.79,Steve Judson
232,/fighter/Matt-Hughes-232,,1973-10-13,United States,"Hillsboro, Illinois",HIT Squad,Welterweight,175.26,77.11,Matt Hughes
230,/fighter/John-Lewis-230,,1969-07-16,United States,"Las Vegas, Nevada",LewisPederneiras Vale-Tudo,Welterweight,182.88,72.57,John Lewis
231,/fighter/Lowell-Anderson-231,,N/A,United States,"Fairfield, Idaho",Gracie Jiu-Jitsu,Welterweight,167.64,71.67,Lowell Anderson
228,/fighter/Jens-Pulver-228,Little Evil,1974-12-06,United States,"Crystal Lake, Illinois",Team Extreme,Bantamweight,170.18,61.23,Jens Pulver
229,/fighter/Alfonso-Alcarez-229,Alfie,1970-06-10,United States,"Las Vegas, Nevada",Nickwan Kick Gym,Bantamweight,160.02,61.23,Alfonso Alcarez
248,/fighter/Tedd-Williams-248,,1969-12-19,United States,"Hesperia, California",Williams Combat Grappling,Heavyweight,182.88,113.4,Tedd Williams
246,/fighter/Lance-Gibson-246,Fearless,1970-11-20,Canada,"Port Moody, British Columbia",Gibson Kickboxing & Pankration,Middleweight,175.26,83.91,Lance Gibson
247,/fighter/Jermaine-Andre-247,Bam Bam,1973-07-16,United States,"Collinville, Illinois",,Middleweight,170.18,83.91,Jermaine Andre
245,/fighter/Dave-Menne-245,The Warrior,1974-07-29,United States,"Minneapolis, Minnesota",Menne Combat Academy,Middleweight,177.8,83.91,Dave Menne
244,/fighter/Bob-Cook-244,Crazy Bob,N/A,United States,"Fresno, California",American Kickboxing Academy,Welterweight,175.26,77.11,Bob Cook
88,/fighter/Tiki-Ghosn-88,,1977-02-09,United States,"Huntington Beach, California",,Welterweight,177.8,76.66,Tiki Ghosn
243,/fighter/David-Velasquez-243,Little,N/A,United States,"San Jose, California",American Kickboxing Academy,Featherweight,165.1,65.77,David Velasquez
241,/fighter/Scott-Adams-241,,1974-07-16,USA,"San Luis Obispo, California",The Pit,Heavyweight,182.88,102.06,Scott Adams
242,/fighter/Ian-Freeman-242,The Machine,1970-12-31,England,"Sunderland, Tyne and Wear",Machine MMA,Light Heavyweight,180.34,92.99,Ian Freeman
239,/fighter/Shonie-Carter-239,Mr. International,1972-05-03,United States,"Chicago, Illinois",Iron Academy,Middleweight,175.26,79.83,Shonie Carter
240,/fighter/Brad-Gumm-240,,N/A,United States,"Littleton, Colorado",Gumm Mixed Martial Arts,Welterweight,180.34,77.11,Brad Gumm
253,/fighter/Murilo-Bustamante-253,,1966-07-30,Brazil,"Arpoador, Rio de Janeiro",Brazilian Top Team,Middleweight,185.42,83.91,Murilo Bustamante
182,/fighter/Yoji-Anjo-182,Mr. 200%,1969-12-31,Japan,"Suginami, Tokyo",Team Kingdom,Light Heavyweight,180.34,89.81,Yoji Anjo
